ac_id,group,criterion_summary,required_evidence_summary,product_module,earliest_phase,gate_dependency,status
PRESENCE-CONTROL-AC-01,"Assistant execution, communications, phone, commerce, and Vault","Every primary interface acknowledges immediately with truthful heard/received/resolving/checking/waiting/blocked/complete state and allows steer, pause, stop, cancel or takeover while work streams.",Voice/text/phone/Mac/mobile interruption and handoff tests; stale-target and duplicate-responder injection; action-stream/audit reconciliation; no-fake-completion assertions.,Shared,1,None,not-started
MAC-FILES-AC-01,"Assistant execution, communications, phone, commerce, and Vault","Finder, Spotlight, Quick Look, pickers and file operations safely cover search, preview, open, save, rename, move, tag, transfer, mount and Trash without link escape or silent overwrite.","Local, cloud-file-provider, external and network-volume matrix with collision, disconnect, quota, quarantine, partial transfer, undo and denial tests.",Assistant,6,WorkMac,not-started
MAC-WEB-AC-01,"Assistant execution, communications, phone, commerce, and Vault","Browser automation preserves exact browser, profile, account, window and tab through navigation, forms, transfers, PDF and print; password stores, cookies and CAPTCHA stay inaccessible.","Chrome/Safari/Firefox matrix with duplicate profiles, punycode/lookalike and redirect-to-app, file:/data:/javascript:/ssh: schemes, universal links, stale tab, malicious download and CAPTCHA tests.",Assistant,6,WorkMac,not-started
MAC-CONTENT-AC-01,"Assistant execution, communications, phone, commerce, and Vault","Text, selection, drag/drop and clipboard actions preserve document version, focus, insertion point, selection and IME; secure fields are denied and clipboard observation is opt-in and scoped.","Native/web/rich-text editors, multilingual IME, focus race, secret clipboard, screenshot/redaction, print/scan, cancellation and undo/restore tests.",Assistant,6,WorkMac,not-started
MAC-SYSTEM-AC-01,"Assistant execution, communications, phone, commerce, and Vault","Notification, productivity, display/audio, Focus, network, Bluetooth, peripheral, storage, software lifecycle and power operations expose truthful state and an explicit effect tier.","Mail/calendar/message drafts, device connect/disconnect, audio/display/printer/VPN/external-drive, install/update/uninstall, dirty-document, restart and protected-panel tests.",Assistant,6,WorkMac,not-started
MAC-AUTOMATION-AC-01,"Assistant execution, communications, phone, commerce, and Vault","App Intents, Shortcuts, AppleScript and learned workflows are versioned, inspectable, bounded and policy-equivalent to direct actions; import never conveys authority or hides external effects.","Malicious Shortcut/script, schema/version drift, dry-run, login-item/persistence, timeout, duplicate-trigger, rollback, revoke and user-takeover tests.",Assistant,6,WorkMac,not-started
MAC-A11Y-AC-01,"Assistant execution, communications, phone, commerce, and Vault","Assistant actions coexist with VoiceOver, Voice Control, Full Keyboard Access, Switch Control, Zoom and multilingual IME, announce state accessibly and restore focus and selection.","Assistive-technology, window/Space/display, focus restoration, passive-overlay and interrupted-takeover tests.",Assistant,6,WorkMac,not-started
MAC-RECOVERY-AC-01,"Assistant execution, communications, phone, commerce, and Vault","Sleep/wake, crash, restart, permission loss, app upgrade, network failure and peripheral removal recover from a safe checkpoint without duplicate effect; irreversible effects stay honest.","Fault injection across every operation class plus process, file, app, device and event/receipt reconciliation.",Assistant,6,WorkMac,not-started
TERMINAL-AC-01,"Assistant execution, communications, phone, commerce, and Vault","Voice/text opens or reuses the exact terminal app, profile, window/tab/pane and supervised session in the resolved environment, cwd, repository, branch and HEAD without implicitly running a command.","Windows Terminal/PowerShell/WSL and IDE fixtures first, later Mac terminals; duplicate-session, wrong-cwd, stale-tab, alias, correction, open-only and local/container/remote tests per platform.",Assistant,1,None,not-started
TERMINAL-AC-02,"Assistant execution, communications, phone, commerce, and Vault","Every command runs from an immutable typed envelope with structured argv, explicit target/cwd, sanitized startup environment, grants, output limits and timeout; unclassifiable shell behavior blocks.","Quoting/metacharacter/glob/redirection corpus; malicious shell rc files, BASH_ENV, ZDOTDIR, PATH, direnv, IDE bootstrap; malicious ANSI/OSC; poisoned output, wrong-cwd and sandbox-denial tests.",Assistant,2,None,not-started
TERMINAL-AC-03,"Assistant execution, communications, phone, commerce, and Vault","Long-running builds, watchers, tests and dev servers keep stable session ownership with visible lease/expiry, stream bounded redacted logs, support detach/reconnect and stop only task-owned processes.","Port collision, healthy-silent, waiting-input, log-flood, child process, lease expiry, lost deploy negative case, sleep, crash, reconnect, orphan cleanup and unrelated-process survival tests.",Assistant,2,None,not-started
DEV-SERVER-AC-01,"Assistant execution, communications, phone, commerce, and Vault","Hosting a project locally resolves the repo-defined server, starts it unprivileged in the exact worktree with sanitized fixtures, loopback-only random port, lease and clean QA browser.","Flask/FastAPI/Vite/Next fixtures; wrong repo/cwd, port collision, missing dependency, debug-console, 0.0.0.0, tunnel, secret-env, crash/reconnect, lease expiry and unrelated-process survival tests.",Assistant,2,None,not-started
TERMINAL-AC-04,"Assistant execution, communications, phone, commerce, and Vault","Passwords, raw tokens, passkeys, Touch ID, SSH trust, signing and privileged prompts never enter the model, argv, env, stdin, history or logs and route through the approved secure user/broker flow.","Secret-canary scans; admin/password, OAuth device flow, new/changed SSH fingerprint, hardware-key, signing, cancel/expiry and wrong-account tests.",Assistant,2,None,not-started
TERMINAL-AC-05,"Assistant execution, communications, phone, commerce, and Vault","SSH/SCP/SFTP/rsync/tunnel operations resolve exact allowlisted host, account, paths and direction, disable agent forwarding, verify fingerprints and bind tunnels to loopback with byte/time leases.","Wrong host/account/path, direction reversal, --delete, remote symlink escape, partial/reconnect, changed host key, forwarded-agent denial, non-loopback bind, cap and orphan-cleanup tests.",Assistant,2,None,not-started
DESTRUCTIVE-AC-01,"Assistant execution, communications, phone, commerce, and Vault","Destructive effects are classified independently of tool name; broad, linked, mounted, protected or production targets fail closed, and allowed actions show targets, backups and dry-run limits.","Shell/Python/Node deletion, Git clean/reset/history, database drop, cloud/IaC/Kubernetes destroy, package uninstall, process kill, wildcard/root/home and permitted disposable-target tests.",Assistant,2,None,not-started
REPRO-AC-01,"Assistant execution, communications, phone, commerce, and Vault","Every terminal/build/test run emits a secret-free Reproducibility Receipt with executor, toolchain, hashes, argv, environment key names, grants, dependency state, timings, artifacts and cleanup.","Receipt schema, identifier/canary secret scan, expiry test, clean-environment replay, changed lockfile/toolchain/cache/network cases and artifact-hash comparison.",Assistant,2,None,not-started
WORK-AC-01,"QuillBot work intake, NeoSapien MCP, and Forge handoff","Only a verified Jira assignment or actionable-state event creates a deduplicated read-only Intake; meeting speech, Slack/email or a NeoSapien memory may enrich but never assert scope.","Signed-webhook/poll receipt, issue deduplication, wrong-assignee denial, manual/automatic merge, spoofed Jira key, meeting/Slack non-start, classifier and quiet/allowlist tests.",Assistant,3,None,not-started
WORK-AC-02,"QuillBot work intake, NeoSapien MCP, and Forge handoff","The QuillBot assistant-prompt.md workflow enforces one ordered state machine from verified event through sealed Context Pack, approval, TASK-only patch and Forge acknowledgement to LLD and Build.","Ordered transition matrix and event trace with input/output hashes, dependency assertions, compare-and-swap tests and failure injection at every transition proving unchanged TASK/worktree/Forge state.",Shared,3,None,not-started
WORK-AC-03,"QuillBot work intake, NeoSapien MCP, and Forge handoff","The Trigger Registry covers every supported event class and maps each to one bounded effect; unknown events are notification-only and no event authorizes Build, posting, deploy or purchase.","Versioned registry/schema, approved trigger profile, event-to-effect matrix, dedupe/correlation/quiet-hours/backfill tests and prohibited-transition tests across event classes.",Shared,3,None,not-started
TASK-CANDIDATE-AC-01,"QuillBot work intake, NeoSapien MCP, and Forge handoff","Every task-like Slack/email/message creates only a read-only Task Candidate with source, classification and confidence; it cannot create Jira or TASK, launch Forge, edit code or reply.",No-key/multi-key/fuzzy/wrong-workspace/edited/deleted/replayed/injected message fixtures and zero-mutation assertions.,Assistant,3,None,not-started
TASK-CANDIDATE-AC-02,"QuillBot work intake, NeoSapien MCP, and Forge handoff","Exact Jira keys are re-read from the configured account before correlation; fuzzy similarity only proposes alternatives, and source edit, deletion or ambiguity invalidates receipts.","Exact/fuzzy/cross-project/multiple-ticket/repository/meeting, edit/delete/revoke, race and false-merge tests.",Assistant,3,None,not-started
TASK-CANDIDATE-AC-03,"QuillBot work intake, NeoSapien MCP, and Forge handoff","A candidate without canonical Jira is held until Jira is linked, a create payload approved, or a policy-permitted Manual Task Intake promoted; all paths converge on the same sanitization and gates.","Jira-required-policy denial, local draft, approved creation/idempotency, manual exception, clarification-draft, snooze and dismiss tests.",Assistant,3,None,not-started
WORK-AC-04,"QuillBot work intake, NeoSapien MCP, and Forge handoff","Each Intake publishes the Source Requirement Matrix and fallback ladder; required unavailable, stale or unauthorized sources stay distinct from verified empty and need a fallback or waiver.","Missing Jira, NeoSapien, /quillbot-lt-conventions, triggered skill, knowledge/Graphify, repository, assistant-prompt and Forge-outage cases.",Shared,3,None,not-started
WORK-AC-05,"QuillBot work intake, NeoSapien MCP, and Forge handoff","Imperative language, notification opens, classifier confidence or prior approval authorize only read-only preparation; TASK mutation needs exact pack approval and code needs later gates.",Speech/UI/replay/stale-hash/changed-scope denials and proof of no unseen-payload or early-Build authorization.,Shared,3,None,not-started
NEO-MCP-AC-01,"QuillBot work intake, NeoSapien MCP, and Forge handoff","Context Bootstrap inspects the authorized MCP registry for an official NeoSapien memory server and records vendor identity, transport, scopes, region and license; look-alikes are never official.","Registry and handshake/capability receipt, official-document evidence or explicit unavailable/unverified state, plus name-collision and unofficial-bridge denial tests.",Shared,0A,None,not-started
NEO-MCP-AC-02,"QuillBot work intake, NeoSapien MCP, and Forge handoff","Once verified, work intake uses the NeoSapien MCP only through the central gateway with a task-scoped read-only grant, paginating fully and fetching content only for selected results.","Sanitized MCP trace, query provenance, timezone/DST and pagination coverage, account/scope receipt, selected/excluded results, prompt-injection denial and zero-write assertion.",Shared,3,None,not-started
NEO-MCP-AC-03,"QuillBot work intake, NeoSapien MCP, and Forge handoff","Empty search, processing, unavailable service, timeout, expired auth, denied scope and deleted item are distinct states; missing required Neo context stops TASK mutation until export or waiver.","No-match, processing, partial-page, timeout, auth-expiry, scope-denial, edited/deleted/revoked, manual-export and waiver tests.",Shared,3,None,not-started
NEO-MCP-AC-04,"QuillBot work intake, NeoSapien MCP, and Forge handoff","Meeting analysis separates transcript spans, human notes, summaries, decision states, actions, contradictions and inferences, preserves provenance and reconciles against Jira and current code.","Cited analysis with duplicate capture, ambiguous speaker, stale/superseded decision, conflict and new-symbol re-exploration cases.",Shared,3,None,not-started
FORGE-HANDOFF-AC-01,"QuillBot work intake, NeoSapien MCP, and Forge handoff",After the approved TASK patch the full assistant-prompt.md hash is computed and the whole file delivered to the correct Forge project; Forge acknowledges every hash or fails closed.,"Sender/receiver hash equality, sentinel and marker validation, wrong-chat/repository, truncation, changed-file invalidation, reconnect and duplicate-handoff tests.",Forge,3,None,not-started
FORGE-HANDOFF-AC-02,"QuillBot work intake, NeoSapien MCP, and Forge handoff","Direct Forge Ask/Explore is read-only; a QuillBot Build validates the full Intake, sealed pack, prompt hash and every receipt without self-waiver, while generic Builds use their own Intake.","QuillBot and generic direct-chat, truncated/manual-task, wrong project, stale index, missing required source/waiver, false-not-applicable and forged-receipt denial tests.",Forge,3,None,not-started
VOICE-AC-01,"Voice identity, adaptation, and video-design evidence","The system separates transcription adaptation, meeting-local diarization, the owner's enrolled profile and another person's consented persistent profile in architecture, storage, UI and policy.","Data-flow/policy tests and UI demo for all four states, including unknown speaker.",Assistant,1,None,not-started
VOICE-AC-02,"Voice identity, adaptation, and video-design evidence","Owner enrollment and adaptation are local-first, inspectable, versioned, benchmarked and deletable, improving held-out recognition without unacceptable false matches or regression.","Before/after WER and speaker metrics across approved devices, noise and accents, artifact lineage, reset/delete and rollback test.",Assistant,1,None,not-started
VOICE-AC-03,"Voice identity, adaptation, and video-design evidence","Other voices default to ephemeral meeting-local labels; persistent named recognition requires a valid Speaker Profile Consent Record, and withdrawal cascades through derived artifacts.","Denied-without-consent, enrollment, open-set recognition, withdrawal, deletion-cascade and backup-expiry tests.",Assistant,5,None,not-started
VOICE-AC-04,"Voice identity, adaptation, and video-design evidence","Continuous adaptation is an offline reviewable candidate workflow; low-quality, uncertain, sensitive, echo, replay and unconsented segments are rejected and live sessions never update weights.","Candidate inclusion/exclusion receipts, poisoning/regression/unknown-speaker evaluation, approval and rollback evidence.",Assistant,1,None,not-started
VOICE-AC-05,"Voice identity, adaptation, and video-design evidence","Voice identity is never sufficient authorization; uncertain, replayed, synthetic and unknown voices are rejected or labelled rather than forced into a match.","FAR/FRR/EER/calibration, unknown-rejection, replay/synthetic/media/crosstalk tests and T2/T3 denial receipts.",Assistant,1,None,not-started
VOICE-AC-06,"Voice identity, adaptation, and video-design evidence","In wake-only mode untriggered audio stays only in the disclosed RAM ring buffer of at most two seconds and produces no transcript, embedding, memory, file, database write or network attempt.","Instrumented network/filesystem/memory-boundary test across at least 10,000 non-trigger windows.",Assistant,1,None,not-started
VOICE-AC-07,"Voice identity, adaptation, and video-design evidence",Persistent enrollment requires an OS-authenticated ceremony and purpose/retention consent; owner enrollment spans at least two sessions and three acoustic conditions and rejects poor-quality samples.,Positive/negative enrollment tests plus sample-quality and provenance receipts.,Assistant,1,None,not-started
VOICE-AC-08,"Voice identity, adaptation, and video-design evidence","On frozen consented target hardware, owner-versus-other matching uses one calibrated threshold meeting the approved target of FAR under 0.1% and FRR under 5% with confidence intervals.",Reproducible evaluation report and threshold/version artifact; metrics never market voice as authentication.,Assistant,1,None,not-started
VOICE-AC-09,"Voice identity, adaptation, and video-design evidence","Diarization reports DER/JER, speaker-count and overlap error, p50/p95 stabilization latency, CPU/GPU/RAM, battery and thermals on target devices using public plus consented private data.",Benchmark ADR with approved per-condition thresholds and no unsupported recognizes-everyone claim.,Assistant,5,None,not-started
VOICE-AC-10,"Voice identity, adaptation, and video-design evidence","Owner adaptation is off by default, versioned and rollbackable; promotion cannot worsen false-match or spoof acceptance in any slice or regress false-non-match beyond one point without approval.","Base-versus-candidate held-out/impostor/spoof comparison, raw-sample erasure proof and rollback test.",Assistant,1,None,not-started
VOICE-AC-11,"Voice identity, adaptation, and video-design evidence","Local-only mode supports enrollment, diarization, verification, adaptation, export and deletion with network denied and telemetry off; no classifier may start retained transcription.","Packet capture, offline end-to-end test, mode-transition denial test and one-action correction/pause evidence.",Assistant,1,None,not-started
VOICE-AC-12,"Voice identity, adaptation, and video-design evidence","Forget/withdraw immediately disables matching, deletes local artifacts within a minute, paired devices within the published target and backups per policy; no artifact may be used for cloning.","Complete artifact inventory, deletion receipts/pending-state UI, offline-device reconnect test and prohibited-secondary-use tests.",Assistant,1,None,not-started
VIDEO-AC-01,"Voice identity, adaptation, and video-design evidence",Every supplied video or Artifact is canonicalized and deduplicated; inaccessible content is marked unverified and triggers an exact official-export request rather than an invented description.,"Source manifest showing all supplied URLs, duplicate relations, access result and missing-file request.",Platform,0A,Gate2,not-started
VIDEO-AC-02,"Voice identity, adaptation, and video-design evidence","Every received video has a technical manifest, semantic-range index, audio status and a machine-readable Frame Ledger with one record per decoded frame; gaps block completeness claims.",Hash/codec/frame/audio report; retained ledger and generation script; exactly-once frame-index coverage per source; monotonic-PTS and zero-gap assertions; transition index; audio boundary.,Platform,0A,Gate2,not-started
VIDEO-AC-03,"Voice identity, adaptation, and video-design evidence",No reference is copied and the frame ledger is never a reconstruction storyboard; every adopted principle maps through evidence to an original prototype preserving no reference asset or timing.,"Motion/Material Evidence Matrix, asset/code/provenance scan, chronological-similarity and side-by-side originality review, A/B/C Artifact comparison and p50/p95/p99 frame/jank evidence.",Glass,0B,Gate2,not-started
VIDEO-AC-04,"Voice identity, adaptation, and video-design evidence","The unlock/system-check ceremony reflects real checks with distinguishable pass, degraded, blocked and unknown states; a failed source is never animated as healthy and the ceremony is skippable.","Injected pass/fail/unknown/offline cases, source drill-down, boot-duration/skip test and audit-event comparison.",Glass,0B,Gate2,not-started
VIDEO-AC-05,"Voice identity, adaptation, and video-design evidence","Every semantic topology edge, node, pulse and status has documented meaning resolving to real provenance; decorative particles are classified ambient and barred from implying work or health.","Graph-legend contract tests, fabricated-event and ambient-particle negative tests, graph-to-audit reconciliation, keyboard/VoiceOver traversal and list parity.",Glass,0B,Gate2,not-started
VIDEO-AC-06,"Voice identity, adaptation, and video-design evidence","Optional camera gesture control has calibration, armed/clutch state, indicators, timeouts, fail-safes and full input parity; it processes landmarks locally and auto-disarms on secure surfaces.","False-positive/negative and interruption tests across lighting, occlusion and body diversity; raw-frame/network/storage inspection; secure-surface auto-disarm; accessible-fallback evidence.",Assistant,0B,Gate2,not-started
VIDEO-AC-07,"Voice identity, adaptation, and video-design evidence","The suite-wide core/face state machine has one tested mapping for all sixteen named states, exposing them through text and non-color cues without showing raw chain-of-thought.","State snapshot/motion/earcon matrix, assistive-technology assertions, color-blind test and tool-event-to-visible-state reconciliation.",Glass,0B,Gate2,not-started
VIDEO-AC-08,"Voice identity, adaptation, and video-design evidence","Cinematic 3D is limited to brand, wake/unlock, idle, high-level topology and major transitions; code, diffs, terminals, transcripts, approvals and errors stay calm and readable with 3D disabled.","Representative Command/Forge/Counsel journeys at 3D on and off, 200% zoom, reduced motion/transparency and contrast/visual-regression evidence.",Glass,0B,Gate2,not-started
VIDEO-AC-09,"Voice identity, adaptation, and video-design evidence","Prompt, component, skill, model and visual-template galleries display source, license, version, compatibility, data egress, cost and install scope; a reel badge is never treated as license proof.","Provenance/SBOM/license records, blocked-unknown-license test and preview-versus-install approval evidence.",Command,2,None,not-started
VIDEO-AC-10,"Voice identity, adaptation, and video-design evidence","Every approved hardware/OS/browser/resolution/quality row defines and meets numeric p95/p99 frame time, jank, long-task, input-latency, power and thermal limits with compositor headroom reserved.","p50/p95/p99 frame, jank and long-task distributions, input latency, headroom calculation, GPU/CPU/RAM/battery/thermal-soak traces; suspension, WebGL-context-loss and no-WebGL end-to-end tests.",Glass,0B,Gate2,not-started
VIDEO-AC-11,"Voice identity, adaptation, and video-design evidence","Command and Forge show a truthful priority-ordered resume state naming what waits and why, with repo, agent, action trace, pending approval and exact resume/cancel/rollback choices.","Forced interruption/restart/offline/handoff scenarios, event-log reconciliation, checkpoint restoration and stale-approval invalidation.",Command,2,None,not-started
VIDEO-AC-12,"Voice identity, adaptation, and video-design evidence","Desktop/ultrawide, phone and optional secondary screens have documented complementary roles rather than duplicated decorative HUDs, and handoff never leaks secrets to the wrong display.","Cross-device role matrix, phone voice/approval journey, lock-screen/privacy masking, revocation and handoff continuity tests.",Glass,0B,Gate2,not-started
VIDEO-AC-13,"Voice identity, adaptation, and video-design evidence","The source video and every derived frame, contact sheet, OCR, embedding, ledger and annotation stay private, excluded from repos, demos, marketing and training, and expire on policy.","Artifact inventory, ACL/access log, repository/training-corpus negative scan, expiry job and deletion receipts.",Platform,0A,Gate2,not-started
VIDEO-AC-14,"Voice identity, adaptation, and video-design evidence","Desktop-monitor footage is not evidence for mobile behavior, accessibility, gesture or voice causality, real-time 3D, secure unlock or production performance; each claim needs research.","Claim-to-evidence matrix with separate mobile, accessibility, input-causality, security and performance tests.",Platform,0A,Gate2,not-started
VIDEO-AC-15,"Voice identity, adaptation, and video-design evidence","Full-screen flashes, uncontrolled parallax, focus loss during graph morphs, color-only state and transparent text over motion are rejected; reduced modes preserve order, focus and 2D function.","Flash-threshold/photosensitivity, vestibular, focus-order, screen-reader/live-region, contrast, 200% zoom and reduced-mode journey tests.",Glass,0B,Gate2,not-started
VIDEO-AC-16,"Voice identity, adaptation, and video-design evidence","Every accessible supplied video produces a timestamped Feature Observation Ledger marking each capability observed, claimed, inferred, unclear or not auditable and mapping it to a disposition.","Audio/caption transcript or explicit unaudited boundary plus frame/range links, zero-unaccounted-feature assertion, requirement-ledger diff, safe-disposition entries and implemented evidence.",Platform,0A,Gate2,not-started
DESIGN-EVIDENCE-AC-01,"Design synthesis, macOS, and Artifact gate","Gate 2 needs per-compilation ledgers with one row per decoded frame, monotonic PTS, duplicate classification, cut/motion metrics and review status; automated decode alone is not semantic analysis.","Separate 9,530- and 8,065-row ledgers; per-source zero-gap and exactly-once assertions, tool versions, transition indexes, reviewer sign-off, zero unresolved intervals and audio status.",Platform,0A,Gate2,not-started
DESIGN-SYNTHESIS-AC-01,"Design synthesis, macOS, and Artifact gate",The Reference Transformation and Morphological Matrix covers every supplied clip and accepted reference from observed principle through transformation to destination and originality risk.,Machine-checked zero-unmapped reference report with timestamped evidence and decisions.,Glass,0B,Gate2,not-started
DESIGN-SYNTHESIS-AC-02,"Design synthesis, macOS, and Artifact gate","A/B/C are deliberate original permutations with identical feature coverage testing the Cinematic Instrument, Spatial Observatory and Obsidian Foundry hypotheses under one token/state/motion family.","Same-scenario interactive Artifact comparison, transformation rationale, independent screen-level originality/trade-dress review and owner-selected Artifact IDs, versions and hashes.",Glass,0B,Gate2,not-started
DESIGN-SYNTHESIS-AC-03,"Design synthesis, macOS, and Artifact gate","Before A/B/C are finalized, a private Design Divergence Lab Artifact holds at least nine meaningfully different seeds across permuted axes, each with hypothesis and decision; exactly three advance.","Versioned Divergence Lab Artifact, morphological combination matrix, seed-to-final lineage, rejected-concept log, coverage check, cosmetic-variant rejection test and independent originality review.",Glass,0B,Gate2,not-started
DESIGN-WINDOWS-AC-01,"Design synthesis, macOS, and Artifact gate","The selected direction is first proven as a coherent Windows pilot experience across tray, palette, HUD, Command, Forge, Counsel, ceremony, notifications, Snap/multidisplay and window restoration.","Windows interactive Artifact plus native pilot review at approved display sizes; keyboard/touch/Narrator/UIA, high-contrast/reduced-motion, lock/UAC/focus and resource tests.",Glass,0B,Gate2,not-started
DESIGN-MAC-AC-01,"Design synthesis, macOS, and Artifact gate","Gate 2 also proves the direction as a coherent Mac design contract across menu bar, palette, HUD, Command, Forge, Counsel, ceremony, native sheets, Spaces/Stage Manager and multi-display behavior.",Interactive Mac Artifact journeys at approved dimensions; minimum and latest macOS plus Apple-Silicon target matrix; later native review with no inherited Windows pass.,Glass,0B,Gate2,not-started
DESIGN-MAC-AC-02,"Design synthesis, macOS, and Artifact gate","A passive HUD or Counsel overlay never steals typing, selection or IME state; explicit activation announces focus transition and dismissal restores the prior app, window and insertion point.",Focus/IME/Spaces/fullscreen/multidisplay automation plus accessibility report and unsupported-state disclosures.,Glass,0B,Gate2,not-started
DESIGN-MATERIAL-AC-01,"Design synthesis, macOS, and Artifact gate","GlassMaterialAdapter uses version-gated public macOS material APIs, supported older fallback, platform-appropriate Windows treatment and accessible 2D fallbacks without imitating Apple material.","Platform/OS availability matrix, fallback screenshots/Artifacts, API/provenance review and semantic token conformance tests.",Glass,0B,Gate2,not-started
DESIGN-XPLAT-AC-01,"Design synthesis, macOS, and Artifact gate",Gate 2 includes a Cross-Platform Surface Matrix where every released platform gives a capability-appropriate primary journey for all three products; no released core product is a notification shell.,"Gate-2 adaptation panels plus per-release interactive Artifact, native-platform review, keyboard/touch/screen-reader tests, product x platform journey evidence and capability-matrix conformance.",Glass,0B,Gate2,not-started
DESIGN-PERF-AC-01,"Design synthesis, macOS, and Artifact gate","Settled, hidden, idle and static surfaces stop continuous rendering; active 2D/3D meets measured frame, input, CPU/GPU, power and thermal budgets on Windows then independently on Apple Silicon.","Per-platform energy/GPU/frame/jank/long-task traces across idle, streaming, active-2D and cinematic-3D; sleep/wake, low-power, thermal, context-loss and fallback tests with no cross-platform reuse.",Glass,0B,Gate2,not-started
DESIGN-GATE-AC-01,"Design synthesis, macOS, and Artifact gate","No production code, scaffold, dependency install, migration or repo creation begins until the exact final interactive Artifact versions for all three apps are approved; change invalidates it.","Unchanged-worktree/dependency/infra proof and first implementation change linked to owner-approved Artifact IDs, versions and hashes.",Glass,0B,Gate2,not-started
ARTIFACT-FEASIBILITY-AC-01,"Design synthesis, macOS, and Artifact gate","Claude Artifacts are used only for supported static client-side synthetic prototypes within size limits and never claim a backend, auth, durable state or production integration.","Current official capability receipt, Artifact network/storage/auth negative tests, size test, connector-only live-data proof, local-fallback parity matrix and owner waiver.",Platform,0A,Gate2,not-started
BRAIN-AC-01,"Design synthesis, macOS, and Artifact gate","The root Orchestrator has one original Strategic Cortex grammar at menu-bar, HUD and Command scales driven only by real events, with every pulse opening a timestamped source receipt.","Interactive Artifact and runtime event-to-visual contract tests, fabricated-activity negative test, graph/list reconciliation, keyboard/screen-reader traversal and degraded-source states.",Glass,0B,Gate2,not-started
CEREMONY-AC-01,"Design synthesis, macOS, and Artifact gate","Gate 2 presents original Abstract Cortex, name-neutral Classical Strategist and Pure Instrument wake studies as selectable options; the chosen ceremony is optional, skippable and post-auth.","A/B/C interactive studies, clean-room originality review, name-on/name-off variants, locked/unlocked/failure/skip/focus tests, accessibility variants and measured duration/energy evidence.",Glass,0B,Gate2,not-started
FORGE-AC-01,Forge coding product,"A repository task cannot leave Context state until its receipt identifies repo, worktree, branch, HEAD, index coverage, relevant symbols, rules, loaded skills, Graphify evidence and omissions.","Receipt plus tests proving stale HEAD, rules, skill or index invalidates it and false not-applicable knowledge/Graphify is denied.",Forge,2,None,not-started
FORGE-AC-02,Forge coding product,"Within a valid scope record and before any QuillBot-specific memory, retrieval, training, exploration, LLD or planning work, Forge fully loads /quillbot-lt-conventions and triggered skills.","Skill invocation/version/hash log, precedence report, memory/retrieval/training design receipt and missing/stale-skill blocking tests.",Forge,2,None,not-started
FORGE-AC-03,Forge coding product,"Before Forge launches a new QuillBot task the Work Context Assembler searches NeoSapien evidence through the governed MCP path and shows included, excluded, stale and unavailable items.","Timezone/DST boundary, relevance/deduplication, no-result versus unavailable, processing/partial, pagination, manual-export/waiver and sealed-receipt tests plus generic not-applicable tests.",Forge,2,None,not-started
FORGE-AC-04,Forge coding product,"For a QuillBot task, Jira authority, current code, Graphify and selected meeting evidence become a reconciled cited Context Pack before any TASK diff; only TASK changes after approval.","QuillBot ordered receipt, byte-identical outside-marker comparison, exact diff, backup/restore, sender/receiver hash equality, wrong-project/truncation denial plus a generic-project journey.",Forge,3,None,not-started
FORGE-AC-05,Forge coding product,"Every slice follows Explore, LLD Artifact, UI Design Artifact where applicable, Plan Mode, approvals, Build then Review/QA, with no code, dependency or external write before approval.",Unchanged-worktree pre-gate proof plus approved Artifact/node/version/hash linked to the first implementation change.,Forge,2,SliceLLD,not-started
FORGE-AC-06,Forge coding product,"Forge works through standalone desktop, terminal/TUI, IDE, web/Command and headless/SDK clients with chats, resume, model/harness selection, worktrees, multi-repository projects, DAGs and MCP.",Contract-equivalent task run through at least two clients with the same canonical session and artifacts.,Forge,2,None,not-started
FORGE-AC-07,Forge coding product,"Ask/Explore/Plan/Build/Review/Debug/QA modes, IDE next-edit completion, Review Workbench, evidence-first Debug, reproducible environments, checkpoints and Live Preview meet stated behavior.","One bug reproduced, diagnosed, minimally fixed, reviewed, browser-tested, CI-tested and restored from each supported checkpoint layer, plus completion latency and leakage evaluation.",Forge,2,None,not-started
FORGE-AC-08,Forge coding product,"Completion requires minimal diffs, relevant tests, browser QA where applicable, security/license checks, classified CI results, bounded retries and a human review packet, with action tiers preserved.","Review packet containing plan, diff, tests, screenshots/traces, CI, risks, receipts and known limitations.",Forge,2,None,not-started
FORGE-AC-09,Forge coding product,"Multi-agent work uses isolated worktrees, leases and typed cited handoffs; agents cannot silently share credentials or context, change scope, approve themselves or keep running after cancellation.","Parallel-worker isolation, stale lease, prompt-injection, cancellation and conflicting-edit tests.",Forge,2,None,not-started
FORGE-AC-10,Forge coding product,"The Host/Client Capability Matrix truthfully covers the Windows pilot first, the post-gate macOS reference and every client, naming where each privileged capability runs and what degrades.","Matrix-to-runtime conformance tests on each released client, unsupported-capability denial, web/phone-to-paired handoff, offline/reconnect, exactly-one-executor and contract-version evidence.",Forge,2,None,not-started
FINE-TUNE-AC-01,Forge coding product,"Command's Model/Evaluation Lab runs a governed proposal, rights review, versioned baseline, dataset card, local adapter experiment, held-out comparison, promotion decision and rollback path.","Base-vs-retrieval-vs-adapter benchmark, dataset/model cards, source lineage and revocation drill, contamination/canary extraction suite, hardware/energy report and rollback to prior policy.",Command,2,None,not-started
